country,year,greenhouse_gas_emissions,renewables_share_energy,solar_electricity,wind_electricity,hydro_electricity
Mexico,2000,106.9800033569336,6.664580345153809,0.0099999997764825,0.0199999995529651,33.06999969482422
Mexico,2001,114.33999633789062,5.909592628479004,0.0099999997764825,0.0199999995529651,28.440000534057617
Mexico,2002,119.38999938964844,5.124882221221924,0.0099999997764825,0.0199999995529651,24.86000061035156
Mexico,2003,128.22999572753906,4.410450458526611,0.0099999997764825,0.0199999995529651,19.850000381469727
Mexico,2004,130.38999938964844,4.989391803741455,0.0099999997764825,0.0199999995529651,25.18000030517578
Mexico,2005,137.8300018310547,5.004691123962402,0.0099999997764825,0.0199999995529651,27.709999084472656
Mexico,2006,140.1199951171875,5.177594661712647,0.0099999997764825,0.050000000745058,30.450000762939453
Mexico,2007,145.89999389648438,4.845501899719238,0.0099999997764825,0.25,27.34000015258789
Mexico,2008,140.5800018310547,6.042779922485352,0.0199999995529651,0.25,39.220001220703125
Mexico,2009,148.36000061035156,4.558758735656738,0.0299999993294477,0.6000000238418579,26.71999931335449
Mexico,2010,149.33999633789062,5.952629566192627,0.0299999993294477,1.2400000095367432,37.20000076293945
Mexico,2011,157.6999969482422,5.602265357971191,0.0399999991059303,1.649999976158142,36.27000045776367
Mexico,2012,163.08999633789062,5.193530559539795,0.0700000002980232,3.690000057220459,31.850000381469727
Mexico,2013,162.47000122070312,4.834019660949707,0.1099999994039535,4.179999828338623,27.959999084472656
Mexico,2014,159.42999267578125,6.426185131072998,0.2199999988079071,6.429999828338623,38.88999938964844
Mexico,2015,165.6999969482422,5.8616557121276855,0.2000000029802322,8.75,30.88999938964844
Mexico,2016,172.22000122070312,5.731222152709961,0.25,10.380000114440918,30.030000686645508
Mexico,2017,175.6300048828125,5.7701096534729,1.190000057220459,10.619999885559082,30.8799991607666
Mexico,2018,183.0,6.342581748962402,3.2100000381469727,12.4399995803833,32.22999954223633
Mexico,2019,181.1499938964844,6.641045570373535,9.960000038146973,16.729999542236328,23.600000381469727
Mexico,2020,157.6699981689453,8.668187141418457,15.84000015258789,19.700000762939453,26.81999969482422
Mexico,2021,149.9199981689453,9.537885665893556,20.190000534057617,21.06999969482422,34.720001220703125
Mexico,2022,157.9600067138672,9.242801666259766,20.34000015258789,20.530000686645508,35.560001373291016
Mexico,2023,172.0,7.927671432495117,23.34000015258789,20.700000762939453,20.61000061035156
Mexico,2024,171.60000610351562,8.250967025756836,25.71999931335449,19.75,23.540000915527344
Morocco,2000,10.399999618530272,1.851485133171081,0.0,0.0599999986588954,0.7099999785423279
Morocco,2001,12.0,2.328437328338623,0.0,0.209999993443489,0.8600000143051147
Morocco,2002,11.5600004196167,2.1849255561828613,0.0,0.1899999976158142,0.8399999737739563
Morocco,2003,12.010000228881836,3.442817211151123,0.0,0.2000000029802322,1.440000057220459
Morocco,2004,12.800000190734863,3.2725636959075928,0.0,0.2000000029802322,1.590000033378601
Morocco,2005,13.8100004196167,1.953792929649353,0.0,0.209999993443489,1.4299999475479126
Morocco,2006,14.079999923706056,1.895309567451477,0.0,0.1800000071525573,1.600000023841858
Morocco,2007,13.93000030517578,1.9266161918640137,0.0,0.2800000011920929,1.3300000429153442
Morocco,2008,14.15999984741211,1.7804509401321411,0.0,0.3000000119209289,1.3700000047683716
Morocco,2009,13.300000190734863,4.431293487548828,0.0,0.3899999856948852,2.950000047683716
Morocco,2010,13.949999809265137,5.5323920249938965,0.0,0.6600000262260437,3.630000114440918
Morocco,2011,15.899999618530272,3.4209775924682617,0.0,0.6899999976158142,2.140000104904175
Morocco,2012,17.190000534057617,2.922682523727417,0.0,0.7300000190734863,1.8200000524520876
Morocco,2013,16.5,4.795974254608154,0.0,1.3600000143051147,2.990000009536743
Morocco,2014,18.290000915527344,4.186784744262695,0.0,1.919999957084656,2.0299999713897705
Morocco,2015,19.13999938964844,5.071516990661621,0.0,2.5199999809265137,2.2799999713897705
Morocco,2016,19.559999465942383,5.25784158706665,0.4000000059604645,3.0199999809265137,1.659999966621399
Morocco,2017,20.36000061035156,4.971946716308594,0.4099999964237213,3.039999961853028,1.5700000524520874
Morocco,2018,21.479999542236328,6.698910713195801,0.949999988079071,3.859999895095825,2.0
Morocco,2019,25.51000022888184,7.10960865020752,1.5800000429153442,4.71999979019165,1.649999976158142
